,index,comment,n_star,date_time,label,segmented_comment
2489,2489,"1 , Pin hao hơi nhanh . Hao nhanh hơn Oppo A5s mới đã dùng tháng thứ 5 . 2 , Các ứng_dụng ngầm hoặc các ứng_dụng khác ko dùng như Duo , YT Music , Play phim ... đã Buộc dừng hoặc gỡ cài_đặt rồi , nhưng khi Cập_nhật bản vá mới thì các ứng_dụng đó ko còn ở trạng_thái Buộc dừng nữa và hiển_thị trên màn_hình điện_thoại . Nên lại phải thực_hiện Buộc dừng / Gỡ . Có cách nào xử_lý ko ạ ?",3,7/7/2020,{BATTERY#Negative};{OTHERS};,"1 , Pin hao hơi nhanh . Hao nhanh hơn Oppo A5s mới đã dùng tháng thứ 5 . 2 , Các ứng_dụng ngầm hoặc các ứng_dụng khác ko dùng như Duo , YT Music , Play phim ... đã Buộc dừng hoặc gỡ cài_đặt rồi , nhưng khi Cập_nhật bản vá mới thì các ứng_dụng đó ko còn ở trạng_thái Buộc dừng nữa và hiển_thị trên màn_hình điện_thoại . Nên lại phải thực_hiện Buộc dừng / Gỡ . Có cách nào xử_lý ko ạ ?"
2490,2490,"1 bên đoạn khoang tròn có chấm_chấm nhìn như bị dính bụi , nhìn rất khó_chịu không biết có ai giống e ko ạ",3,19/04/2020,{OTHERS};,"1 bên đoạn khoang tròn có chấm_chấm nhìn như bị dính bụi , nhìn rất khó_chịu không biết có ai giống e ko ạ"
2491,2491,"ĐIện_thoạI sàI mượt , chơI game ok , chụp hình tuyệt đẹp , dung_lượng nhiều sàI không lo bộ_nhớ đầy , pin cầm rất tốt",5,1/7/2018,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{STORAGE#Positive};,"ĐIện_thoạI sàI mượt , chơI game ok , chụp hình tuyệt đẹp , dung_lượng nhiều sàI không lo bộ_nhớ đầy , pin cầm rất tốt"
2492,2492,Về phần thiết_kế thì đẹp và nhìn sang_trọng . Chip xử_lí tốt . Đáng mua trong tầm giá,5,14/07/2020,{PERFORMANCE#Positive};{DESIGN#Positive};{PRICE#Positive};{GENERAL#Positive};,Về phần thiết_kế thì đẹp và nhìn sang_trọng . Chip xử_lí tốt . Đáng mua trong tầm giá
2493,2493,"mua được 3 tuần nhưng cảm_nhận thấy cấu_hình ổn sạc pin nhanh , chơi game mượt . Nhưng mình thấy cam chụp xấu bắt sóng di_động yếu cam lồi quá dễ vỡ",4,28/09/2019,{CAMERA#Negative};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Negative};,"mua được 3 tuần nhưng cảm_nhận thấy cấu_hình ổn sạc pin nhanh , chơi game mượt . Nhưng mình thấy cam chụp xấu bắt sóng di_động yếu cam lồi quá dễ vỡ"
2494,2494,Vừa nhận máy ... máy cầm khá chắc_chắn . Không ọp_ẹp . Phím bấm ok . Loa tạm được . Nhân_viên giao hàng nhiệt_tình .,5,12/7/2020,{FEATURES#Neutral};{DESIGN#Positive};{SER&ACC#Positive};{OTHERS};,Vừa nhận máy ... máy cầm khá chắc_chắn . Không ọp_ẹp . Phím bấm ok . Loa tạm được . Nhân_viên giao hàng nhiệt_tình .
2495,2495,"Trải_nghiệm gần 1 tháng cảm_thấy máy nóng hơi nhanh , nhưng đảm_bảo mượt . Có_điều không biết phải do máy không mà sao bắt wifi kém quá hay đứng và load thường_xuyên , mình không sài ốp lưng trong khi cái ip6 cũ vẫn sài ầm_ầm .",4,10/4/2019,{FEATURES#Negative};{PERFORMANCE#Neutral};{OTHERS};,"Trải_nghiệm gần 1 tháng cảm_thấy máy nóng hơi nhanh , nhưng đảm_bảo mượt . Có_điều không biết phải do máy không mà sao bắt wifi kém quá hay đứng và load thường_xuyên , mình không sài ốp lưng trong khi cái ip6 cũ vẫn sài ầm_ầm ."
2496,2496,Mình mua máy cũ xài đã rất ok r . Tiết_kiệm đc khoản k nhỏ ahihi . Bạn nào suy_nghĩ đắn_đo thì cứ quất về xài thử đi . Mua cũ xài cũng bao êm nha .,5,18/07/2020,{PRICE#Positive};{GENERAL#Positive};{OTHERS};,Mình mua máy cũ xài đã rất ok r . Tiết_kiệm đc khoản k nhỏ ahihi . Bạn nào suy_nghĩ đắn_đo thì cứ quất về xài thử đi . Mua cũ xài cũng bao êm nha .
2497,2497,"Sản_phẩm đáng để mua giá tốt camera ổn , pin trâu chơi game mượt , vân tay mở rất nhanh tuyệt_vời ",5,4/4/2020,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};,"Sản_phẩm đáng để mua giá tốt camera ổn , pin trâu chơi game mượt , vân tay mở rất nhanh tuyệt_vời "
2498,2498,Mình khuyên các bạn đừng mua.mới mua 5 ngày về bị thoát ra khi đang xem phim.lên lần đầu lên sửa nhân_viên bảo là do lỗi cập_nhật . dùng gần 1 tháng máy đơ lên nhân_viên chỉnh hơn một tiếng.mua thế_giới di_động đó.làm ăn kiểu ni chừa luôn đó,1,5/6/2020,{PERFORMANCE#Negative};{GENERAL#Negative};{SER&ACC#Negative};,Mình khuyên các bạn đừng mua.mới mua 5 ngày về bị thoát ra khi đang xem phim.lên lần đầu lên sửa nhân_viên bảo là do lỗi cập_nhật . dùng gần 1 tháng máy đơ lên nhân_viên chỉnh hơn một tiếng.mua thế_giới di_động đó.làm ăn kiểu ni chừa luôn đó
2499,2499,"Máy dùng pin trâu , sạc nhanh màn đẹp , với nhu_cầu làm_việc của mình thì rất hài_lòng vs sp này",5,22/10/2019,{SCREEN#Positive};{BATTERY#Positive};{GENERAL#Positive};,"Máy dùng pin trâu , sạc nhanh màn đẹp , với nhu_cầu làm_việc của mình thì rất hài_lòng vs sp này"
2500,2500,máy này chiến pubg tốt ko a e . xin ý kiên chân_thành . mình tính mua kkkkkkkkkkkkk,3,13/05/2019,{OTHERS};,máy này chiến pubg tốt ko a e . xin ý kiên chân_thành . mình tính mua kkkkkkkkkkkkk
2501,2501,"Mình thấy lúc xem ảnh bị ngã vàng , lúc nhình nghiêng thì ok.hơi khó chịu.có bạn nào bị vậy ko",3,15/05/2020,{SCREEN#Negative};{OTHERS};,"Mình thấy lúc xem ảnh bị ngã vàng , lúc nhình nghiêng thì ok.hơi khó chịu.có bạn nào bị vậy ko"
2502,2502,"mới mua hôm_qua dt thiết_kế đẹp pin trâu mình sài 1 ngày mới hết pin chơi pubg , lien quân mượt , cam đối_với mình là ổn",5,15/04/2020,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{OTHERS};,"mới mua hôm_qua dt thiết_kế đẹp pin trâu mình sài 1 ngày mới hết pin chơi pubg , lien quân mượt , cam đối_với mình là ổn"
2503,2503,Sài đc nhưng mao hết pin quá mới sạc hồi tối thì sáng hết pin rùi mong liên_hệ lại để sửa_chữa,1,13/12/2019,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,Sài đc nhưng mao hết pin quá mới sạc hồi tối thì sáng hết pin rùi mong liên_hệ lại để sửa_chữa
2504,2504,"Sử_dụng 1 năm rồi , mọi thứ vẫn ổn_định , chưa thấy lỗi gì , sóng 4g mạnh_mẽ . lúc mới mua 4 tr 5 . Máy không nóng , không giật lắc , mình chỉ sử_dụng Facebook , youtube và 1 số game .",5,7/7/2020,{FEATURES#Positive};{PERFORMANCE#Neutral};{GENERAL#Positive};{OTHERS};,"Sử_dụng 1 năm rồi , mọi thứ vẫn ổn_định , chưa thấy lỗi gì , sóng 4g mạnh_mẽ . lúc mới mua 4 tr 5 . Máy không nóng , không giật lắc , mình chỉ sử_dụng Facebook , youtube và 1 số game ."
2505,2505,"Sản_phẩm rất tốt , nhân_viên phục_vụ nhiệt_tình . Tôi rất thích sản_phẩm này , máy dùng rất mượt_mà , chế_độ bảo_hành rất tốt , pin khoẻ màn_hình to dễ nhìn . Tôi rất thích sản_phẩm này .",5,2/8/2018,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"Sản_phẩm rất tốt , nhân_viên phục_vụ nhiệt_tình . Tôi rất thích sản_phẩm này , máy dùng rất mượt_mà , chế_độ bảo_hành rất tốt , pin khoẻ màn_hình to dễ nhìn . Tôi rất thích sản_phẩm này ."
2506,2506,Sản_phẩm chụp ảnh đẹp . Quá tuyệt_vời so với mức giá . Có sạc nhanh . Trả_góp còn ko mất lãi,5,14/08/2020,{CAMERA#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,Sản_phẩm chụp ảnh đẹp . Quá tuyệt_vời so với mức giá . Có sạc nhanh . Trả_góp còn ko mất lãi
2507,2507,Máy_Sài lỗi quá nhiều hết app này đến app khác còn lỗi âm_thanh nữa pin tuột hơi nhanh thất_vọng,1,12/3/2020,{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,Máy_Sài lỗi quá nhiều hết app này đến app khác còn lỗi âm_thanh nữa pin tuột hơi nhanh thất_vọng
2508,2508,"Minh mới mua được mấy hôm nhưng thấy pin cũng nhanh hết quá ko biết kiểu gi , còn mọi thứ đều ổn",2,11/3/2020,{BATTERY#Negative};{GENERAL#Positive};,"Minh mới mua được mấy hôm nhưng thấy pin cũng nhanh hết quá ko biết kiểu gi , còn mọi thứ đều ổn"
2509,2509,"Sản_phẩm ok , cấu_hình ổn , màn_hình to rõ , nhân_viên ở từ_sơn bắc_ninh nhiệt_tình quá",5,22/03/2020,{SCREEN#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"Sản_phẩm ok , cấu_hình ổn , màn_hình to rõ , nhân_viên ở từ_sơn bắc_ninh nhiệt_tình quá"
2510,2510,"Điện_thoại tốt , phù_hợp với sinh_viên , người lao_động , chơi game nhẹ , lqmb , pubg cấu_hình thấp thì ok",5,16/05/2020,{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,"Điện_thoại tốt , phù_hợp với sinh_viên , người lao_động , chơi game nhẹ , lqmb , pubg cấu_hình thấp thì ok"
2511,2511,Sạc 76% Pin báo đầy không_thể sạc thêm nữa . Máy bị lỗi sạc mình đã đổi củ sạc khác vẫn báo như_vậy . Mình mới mua máy được 4 hôm có được đổi trả sang máy khác được không ạ ?,1,18/05/2020,{BATTERY#Negative};{SER&ACC#Neutral};,Sạc 76% Pin báo đầy không_thể sạc thêm nữa . Máy bị lỗi sạc mình đã đổi củ sạc khác vẫn báo như_vậy . Mình mới mua máy được 4 hôm có được đổi trả sang máy khác được không ạ ?
2512,2512,Sản_phẩm xài tốt còn 1 vài thứ chưa cài_đặt được như bàn_phím gõ kiểu VNI biểu_tượng tin nhắn mesenger,5,3/8/2019,{FEATURES#Negative};{GENERAL#Positive};,Sản_phẩm xài tốt còn 1 vài thứ chưa cài_đặt được như bàn_phím gõ kiểu VNI biểu_tượng tin nhắn mesenger
2513,2513,"Sản_phẩm rất ok , Pin rất trâu , mua về cho con gái là thấy hài_lòng lắm , nhân_viên nhiệt_tình , vui_vẻ , thái_độ tốt , cảm_ơn Tgdd lắm",5,24/09/2019,{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"Sản_phẩm rất ok , Pin rất trâu , mua về cho con gái là thấy hài_lòng lắm , nhân_viên nhiệt_tình , vui_vẻ , thái_độ tốt , cảm_ơn Tgdd lắm"
2514,2514,Sản_phẩm tốt suất sắc trong tầm máy đẹp pin trâu Màn_hình cũng ok nhưng ko thể bằng vsmart live đời_đầu,5,7 ngày trước,{SCREEN#Negative};{BATTERY#Positive};{DESIGN#Positive};{GENERAL#Positive};,Sản_phẩm tốt suất sắc trong tầm máy đẹp pin trâu Màn_hình cũng ok nhưng ko thể bằng vsmart live đời_đầu
2515,2515,"Mình sài hơn cả tháng rất OK mà . Pin hơi nhanh . Nhưng hình_ảnh sắc nét . Xem phim cực đỉnh , bộ_nhớ quá_đà . Tải gần 30 tập mà chưa đầy",5,28/05/2020,{SCREEN#Positive};{BATTERY#Negative};{STORAGE#Positive};{GENERAL#Positive};{OTHERS};,"Mình sài hơn cả tháng rất OK mà . Pin hơi nhanh . Nhưng hình_ảnh sắc nét . Xem phim cực đỉnh , bộ_nhớ quá_đà . Tải gần 30 tập mà chưa đầy"
2516,2516,"Mình mới mua ngày hôm_qua , dùng OK , pin trâu , kết_cấu tuyệt , mấy ac nhân_viên tư ván nhiệt_tình ...",5,12/7/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"Mình mới mua ngày hôm_qua , dùng OK , pin trâu , kết_cấu tuyệt , mấy ac nhân_viên tư ván nhiệt_tình ..."
2517,2517,Tôi đã mua và đang sử_dụng nói_chung mọi thứ đều ok chỉ riêng mở khoá vân tay đúng là quá tệ . Mong rằng sẽ tốt hơn nếu nâng_cấp lên phần_mềm mới sau_này,4,17/08/2019,{FEATURES#Negative};{GENERAL#Positive};{OTHERS};,Tôi đã mua và đang sử_dụng nói_chung mọi thứ đều ok chỉ riêng mở khoá vân tay đúng là quá tệ . Mong rằng sẽ tốt hơn nếu nâng_cấp lên phần_mềm mới sau_này
2518,2518,"Sp tốt . Pin trâu game ngon . Loa ok k quá nhỏ . Camera sắc nét , vân tay max nhạy , thiết_kế đẹp . Đáng mua",5,4/4/2020,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{PRICE#Positive};{GENERAL#Positive};,"Sp tốt . Pin trâu game ngon . Loa ok k quá nhỏ . Camera sắc nét , vân tay max nhạy , thiết_kế đẹp . Đáng mua"
2519,2519,"Mua tại tgdd được 2 ngày gọi video call mờ_nhạt hình_ảnh ko đẹp ko hài_lòng , mình muốn đổi lại",1,27/02/2020,{CAMERA#Negative};{FEATURES#Negative};{OTHERS};,"Mua tại tgdd được 2 ngày gọi video call mờ_nhạt hình_ảnh ko đẹp ko hài_lòng , mình muốn đổi lại"
2520,2520,Máy rất tốt Camera rất đẹp khi dùng app hoặc bình_thường cx đẹp mới mua hôm_qua làm gì cx hơi giật một_tí khi cập_nhật xong thì rất mượt nói_chung trong tầm giá z thì quá ok,5,9/4/2020,{CAMERA#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,Máy rất tốt Camera rất đẹp khi dùng app hoặc bình_thường cx đẹp mới mua hôm_qua làm gì cx hơi giật một_tí khi cập_nhật xong thì rất mượt nói_chung trong tầm giá z thì quá ok
2521,2521,"Quá tốt trong tầm giá chỉ tiết là không có kháng nước . Mình đang sử_dụng ngày thứ 3 chưa có vấn_đề gì khác đáng phải phàn_nàn , với dung_lượng pin hiện_tại thì quá đủ để làm_việc và giải_trí một ngày .",4,10/2/2020,{STORAGE#Positive};{DESIGN#Negative};{PRICE#Neutral};{GENERAL#Positive};,"Quá tốt trong tầm giá chỉ tiết là không có kháng nước . Mình đang sử_dụng ngày thứ 3 chưa có vấn_đề gì khác đáng phải phàn_nàn , với dung_lượng pin hiện_tại thì quá đủ để làm_việc và giải_trí một ngày ."
2522,2522,Chán a70 quá dùng 2 tháng nt bị đơ . Dơi nhẹ vỡ luôn kính camera sau vân tay khuôn_mặt chậm nói_chung là không nên mua,2,25/10/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{DESIGN#Negative};{GENERAL#Negative};,Chán a70 quá dùng 2 tháng nt bị đơ . Dơi nhẹ vỡ luôn kính camera sau vân tay khuôn_mặt chậm nói_chung là không nên mua
2523,2523,Máy mượt màn_hình đẹp phản_hồi nhanh chơi game tốt.flagship nên có cả chức_năng rán trứng.pin thì thông_số maketing.chưa đạt được sự kì_vọng với 1 flagship trong tầm giá .,5,13/07/2020,{SCREEN#Positive};{BATTERY#Negative};{PERFORMANCE#Positive};{OTHERS};,Máy mượt màn_hình đẹp phản_hồi nhanh chơi game tốt.flagship nên có cả chức_năng rán trứng.pin thì thông_số maketing.chưa đạt được sự kì_vọng với 1 flagship trong tầm giá .
2524,2524,"Mk sài đc mấy tuần r tốt , chụp đẹp , pin sài ok khoảng 1 ngày rưỡi vì mk k cs chs game , chỉ coi phim , nhắn_tin , ... thoy . Sạc nhanh chỉ 1 tiếng là đầy , mà mk sạc cỡ 80-90 - là tháo r . Loa ok , độ sáng ok",5,15/07/2020,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{GENERAL#Positive};,"Mk sài đc mấy tuần r tốt , chụp đẹp , pin sài ok khoảng 1 ngày rưỡi vì mk k cs chs game , chỉ coi phim , nhắn_tin , ... thoy . Sạc nhanh chỉ 1 tiếng là đầy , mà mk sạc cỡ 80-90 - là tháo r . Loa ok , độ sáng ok"
2525,2525,Con thấy tổng_thể mới thứ đều rất đẹp nào qua tggd mua ủng_hộ shop nha very very Gôd,5,8/4/2020,{OTHERS};,Con thấy tổng_thể mới thứ đều rất đẹp nào qua tggd mua ủng_hộ shop nha very very Gôd
2526,2526,"Thấy mọi người chê quá , chứ mình xài gần 1 tháng rồi , mọi thứ vẫn tốt , sóng khoẻ , pin lâu , sạc siêu nhanh , bút Spen thần_thánh , màn_hình khá sáng , chỉ có cảm_biến vân tay là ko nhạy , với giá thế_này thì ko nên đòi_hỏi quá nhiều . Đây chỉ là dòng cận cao_cấp gắn mác Note mà thôi .",5,2/4/2020,{SCREEN#Positive};{FEATURES#Neutral};{BATTERY#Positive};{OTHERS};,"Thấy mọi người chê quá , chứ mình xài gần 1 tháng rồi , mọi thứ vẫn tốt , sóng khoẻ , pin lâu , sạc siêu nhanh , bút Spen thần_thánh , màn_hình khá sáng , chỉ có cảm_biến vân tay là ko nhạy , với giá thế_này thì ko nên đòi_hỏi quá nhiều . Đây chỉ là dòng cận cao_cấp gắn mác Note mà thôi ."
2527,2527,Quá tuyệt Giá rẻ mà xịn hơn cả samsung Rất hà lòng ... mong mọi người sẽ ủng_hộ Vsmart vì thật_sự là sản_phẩm tốt,5,28/02/2020,{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};,Quá tuyệt Giá rẻ mà xịn hơn cả samsung Rất hà lòng ... mong mọi người sẽ ủng_hộ Vsmart vì thật_sự là sản_phẩm tốt
2528,2528,sau 1 dêm xài.tôi tháy máy chơi game rất mượt . 1 trận 15p mất 4 pin.rất ok.về chụp ảnh thì rất đẹp các bạn ak.nên mua đi và cảm nhận.pin rất trâu và đặc_biệt k nóng mấy,5,3/4/2020,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{OTHERS};,sau 1 dêm xài.tôi tháy máy chơi game rất mượt . 1 trận 15p mất 4 pin.rất ok.về chụp ảnh thì rất đẹp các bạn ak.nên mua đi và cảm nhận.pin rất trâu và đặc_biệt k nóng mấy
2529,2529,Nó chung tầm giá ntn là qúa ngon r . Nhug mình mua dc 1 tháng hừm qua mới kiu cập_nhật . Ụp xong giờ sạc pin lên đến 76% là max rồi ko bít lời tại ai .,4,20/04/2020,{PERFORMANCE#Negative};{PRICE#Neutral};{GENERAL#Positive};,Nó chung tầm giá ntn là qúa ngon r . Nhug mình mua dc 1 tháng hừm qua mới kiu cập_nhật . Ụp xong giờ sạc pin lên đến 76% là max rồi ko bít lời tại ai .
2530,2530,Mình mua được tuần cảm_thấy ko hài_lòng . Cảm_biến vân tay chậm quá . Máy cực nóng nhất_là phần camera khi mình gọi video,3,31/01/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,Mình mua được tuần cảm_thấy ko hài_lòng . Cảm_biến vân tay chậm quá . Máy cực nóng nhất_là phần camera khi mình gọi video
2531,2531,"Ban_đầu mua về sử_dụng thấy rất tốt , dự đó phân_giải là 480p nhưng nhìn khá đẹp , loa to rõ , xem youtube ổn",5,15/05/2020,{SCREEN#Positive};{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"Ban_đầu mua về sử_dụng thấy rất tốt , dự đó phân_giải là 480p nhưng nhìn khá đẹp , loa to rõ , xem youtube ổn"
2532,2532,Mình mới mua điện_thoại vào hôm_nay . Mua hộ cho chị_gái nên chưa biết điện_thoại xài như nào . Nhưng mình vẫn cho 4 sao cho nhân_viên phục_vụ quá nhiệt_tình,4,7/6/2020,{SER&ACC#Positive};{OTHERS};,Mình mới mua điện_thoại vào hôm_nay . Mua hộ cho chị_gái nên chưa biết điện_thoại xài như nào . Nhưng mình vẫn cho 4 sao cho nhân_viên phục_vụ quá nhiệt_tình
2533,2533,Khá hay tôi rất thích sảng phẩm nay vì có nhiều tính_năng khá tốt cug hay lắm oks,5,26/05/2020,{FEATURES#Positive};{GENERAL#Positive};,Khá hay tôi rất thích sảng phẩm nay vì có nhiều tính_năng khá tốt cug hay lắm oks
2534,2534,"máy sử_dụng rất tốt , mượt_mà , nhanh , pin khoẻ , thiết_kế đẹp , chụp ảnh nét , có chụp ảnh xoá phông . tôi rất ưng_ý về sản_phẩm , Nhân_viên phục_vụ tận_tình , chu_đáo . tôi rất hài_lòng",5,9/10/2018,{CAMERA#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"máy sử_dụng rất tốt , mượt_mà , nhanh , pin khoẻ , thiết_kế đẹp , chụp ảnh nét , có chụp ảnh xoá phông . tôi rất ưng_ý về sản_phẩm , Nhân_viên phục_vụ tận_tình , chu_đáo . tôi rất hài_lòng"
2535,2535,"Máy đẹp , màn_hình to , cảm_ứng nhạy , pin trâu , lướt_sóng khoẻ . Tự_hào VinGroup , Vsmart , VinFast ...",5,14/08/2020,{FEATURES#Positive};{BATTERY#Positive};{DESIGN#Positive};{SER&ACC#Positive};,"Máy đẹp , màn_hình to , cảm_ứng nhạy , pin trâu , lướt_sóng khoẻ . Tự_hào VinGroup , Vsmart , VinFast ..."
2536,2536,Sau khi 1 đổi 1 lại máy thì máy sử_dụng khá ổn . Anh_chị nhân_viên ở thế_giới di_động chi_nhánh đường Lạc_Hồng_Rạch_Giá Kiên_Giang rất thân_thiện và rất chuyên_nghiệp hỗ_trợ khách_hàng hết_mình . Mình cảm_thấy rất hài_lòng về anh_chị ở thế_giới di_động Rạch_Giá nói_riêng và thế_giới di_động nói_chung .,5,29/06/2020,{GENERAL#Positive};{SER&ACC#Positive};,Sau khi 1 đổi 1 lại máy thì máy sử_dụng khá ổn . Anh_chị nhân_viên ở thế_giới di_động chi_nhánh đường Lạc_Hồng_Rạch_Giá Kiên_Giang rất thân_thiện và rất chuyên_nghiệp hỗ_trợ khách_hàng hết_mình . Mình cảm_thấy rất hài_lòng về anh_chị ở thế_giới di_động Rạch_Giá nói_riêng và thế_giới di_động nói_chung .
2537,2537,Moi mua máy được 2ngay Chụp ảnh khá ổn Chơi game lQ và BUBG mượt máy ít nóng Bám vân tay nhìu Pin trâu Máy bắt sóng 4G yếu,4,29/01/2020,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};{OTHERS};,Moi mua máy được 2ngay Chụp ảnh khá ổn Chơi game lQ và BUBG mượt máy ít nóng Bám vân tay nhìu Pin trâu Máy bắt sóng 4G yếu
2538,2538,"Máy ngon mạnh về cấu_hình , chụp hình đẹp , pin trâu , đáng đồng_tiền bỏ ra , nói chug qúa tuyệt",5,21/04/2020,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};,"Máy ngon mạnh về cấu_hình , chụp hình đẹp , pin trâu , đáng đồng_tiền bỏ ra , nói chug qúa tuyệt"
2539,2539,Sản_Phẩm Quá_Chi_Là_Ưng Nhiều người bảo là pin sao mà hết nhanh ? ? Mình xem Youtube và lướt facebook tầm 20 - 30p mà chỉ mất 1 đến 2% pin thôi nhé ... Mọi người chơi game nên để đồ_hoạ BT thôi đừng nên để max setting nó hao pin lắm nhé,5,30/12/2019,{BATTERY#Positive};{GENERAL#Positive};{OTHERS};,Sản_Phẩm Quá_Chi_Là_Ưng Nhiều người bảo là pin sao mà hết nhanh ? ? Mình xem Youtube và lướt facebook tầm 20 - 30p mà chỉ mất 1 đến 2% pin thôi nhé ... Mọi người chơi game nên để đồ_hoạ BT thôi đừng nên để max setting nó hao pin lắm nhé
2540,2540,Sảng phẩm đẹp nhưg sài đc 5 tháng thì bắt_đầu có hiện_tượng giật lag nhẹ còn nhữg điôu khác đều ok,5,24/04/2020,{PERFORMANCE#Negative};{DESIGN#Positive};{GENERAL#Positive};,Sảng phẩm đẹp nhưg sài đc 5 tháng thì bắt_đầu có hiện_tượng giật lag nhẹ còn nhữg điôu khác đều ok
2541,2541,Sợ con a10 dùng đơ cảm_ứng chậm . Mới mua chưa dc 1thang tốt nhất không nên dùng,1,15/11/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,Sợ con a10 dùng đơ cảm_ứng chậm . Mới mua chưa dc 1thang tốt nhất không nên dùng
2542,2542,Chiếc điện_thoại tệ nhất mà mình đã mua RẤT RẤT HỐI_HẬN VÌ MUA A51 Cũng không muốn chậm tới nó lần nào nửa,1,17/02/2020,{GENERAL#Negative};{OTHERS};,Chiếc điện_thoại tệ nhất mà mình đã mua RẤT RẤT HỐI_HẬN VÌ MUA A51 Cũng không muốn chậm tới nó lần nào nửa
2543,2543,Wifi yêu có lúc lại tự nhảy tắt bật thế_là thế_nào nhỉ mới thứ khác như màn_hình . pin quá chuẩn,3,24/02/2020,{FEATURES#Negative};{BATTERY#Positive};,Wifi yêu có lúc lại tự nhảy tắt bật thế_là thế_nào nhỉ mới thứ khác như màn_hình . pin quá chuẩn
2544,2544,Với thời_điểm mình mua ( 25/2 ) . Với số tiền ấy thì Note10Lite mình thấy đây là sản_phẩm hợp_lý nhất . Nếu muốn hơn thì đương_nhiên tài_chính cũng phải tỉ_lệ_thuận thôi .,4,23/03/2020,{PRICE#Positive};{GENERAL#Positive};{OTHERS};,Với thời_điểm mình mua ( 25/2 ) . Với số tiền ấy thì Note10Lite mình thấy đây là sản_phẩm hợp_lý nhất . Nếu muốn hơn thì đương_nhiên tài_chính cũng phải tỉ_lệ_thuận thôi .
2545,2545,"Máy mới mua xài bao mượt , Chụp hình đẹp , loa nghe âm bass , sạc một tiếng đầy.Nói chung là sản_phẩm tốt đang trải_nghiệm .",5,27/04/2020,{CAMERA#Positive};{FEATURES#Neutral};{BATTERY#Neutral};{PERFORMANCE#Positive};{GENERAL#Positive};,"Máy mới mua xài bao mượt , Chụp hình đẹp , loa nghe âm bass , sạc một tiếng đầy.Nói chung là sản_phẩm tốt đang trải_nghiệm ."
2546,2546,"Sản_phẩm tốt nhất trong giá , cảm_nhận vài ngày dùng . Xưa thấy không có gg ngại . Sài rồi mới thấy vẫn ngon_lành .",5,1/6/2020,{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,"Sản_phẩm tốt nhất trong giá , cảm_nhận vài ngày dùng . Xưa thấy không có gg ngại . Sài rồi mới thấy vẫn ngon_lành ."
2547,2547,"Tại_sao mình không chỉnh lên được 48mp ở camera sau , sản_phẩm hợp túi_tiền , màu đẹp",3,26/02/2020,{CAMERA#Negative};{DESIGN#Positive};{PRICE#Positive};,"Tại_sao mình không chỉnh lên được 48mp ở camera sau , sản_phẩm hợp túi_tiền , màu đẹp"
2548,2548,Mình chỉ không hài_lòng về sóng điện_thoại_di_động cực_kì chập_chờn nhiều khi không liên_lạc được dùng rất bực_mình,2,6/3/2020,{FEATURES#Negative};,Mình chỉ không hài_lòng về sóng điện_thoại_di_động cực_kì chập_chờn nhiều khi không liên_lạc được dùng rất bực_mình
