,sentence,sentiment,topic
333,mong cô giúp_đỡ để cải_thiện vốn tự vựng tiếng anh .,0,0
334,"cô luôn động_viên và định_hướng sinh_viên trong việc tự rèn_luyện , trau_dồi kỹ_năng ngoại_ngữ .",2,0
335,nên có giờ thực_hành của môn_học này .,0,1
336,giảng_dạy tốt đạt hiểu quả cao .,2,0
337,"truyền_đạt tốt , dễ hiểu .",2,0
338,"phòng đào_tạo và khoa wzjwz84 nên thống_nhất lại hình_thức thi và nội_dung thi cho hợp_lý , tránh thay_đổi hình_thức thi vào gần sát cuối kỳ học .",0,1
339,"giảng_viên luôn đến lớp đúng giờ , giảng_dạy thân_thiện , tận_tâm .",2,0
340,"những bài thuyết_trình chưa đủ để nâng cao kiến thức của cá_nhân , chưa thực_sự phù_hợp với khả_năng hiện_tại của bản_thân .",0,1
341,nhưng không sao .,1,1
342,"giảng_viên dạy dễ hiểu , hướng_dẫn bài_tập cụ_thể .",2,0
343,"cho thêm bài_tập về nhà , đề_tài thuyết_trình bằng tiếng anh , bài viết .",0,1
344,"giảng_viên dạy dễ hiểu , đi dạy đúng giờ .",2,0
345,giảng_viên làm_việc riêng khi sinh_viên báo_cáo .,0,0
346,"nhiệt_tình , quan_tâm giúp_đỡ học_sinh .",2,0
347,sức_khoẻ yếu .,0,0
348,giảng_viên không sử_dụng moodle để sinh_viên nộp bài_tập mà yêu_cầu gửi qua mail cá_nhân .,0,0
349,giảng_viên quá tệ .,0,0
350,hài_lòng hết !,2,3
351,thầy dạy rất đúng giờ .,2,0
352,thầy rất vui_tính gần_gũi .,2,0
353,lên_lớp đầy_đủ .,2,0
354,giáo_viên lên_lớp đúng giờ .,2,0
355,hướng_dẫn cách học tiếng anh hiệu_quả cho sinh_viên !,2,0
356,nhiệt_tình với sinh_viên .,2,0
357,"đề thi không có tính phân_loại về kiến_thức nhiều , mà hơn nhau ở chỗ ai tỉ_mỉ hơn , ai nhanh hơn .",0,1
358,khả_năng sư_phạm của cô theo em cần được cải_thiện hơn .,0,0
359,thầy đẹp_trai colonlove .,2,0
360,giảng_viên thường_xuyên tương_tác với sinh_viên trong lúc dạy .,2,0
361,cô nên yêu_cầu sinh_viên trả_lời câu hỏi nhiều hơn .,0,0
362,cung_cấp lượng lớn thông_tin .,2,3
363,có nhiều thứ bổ_ích .,2,1
364,thầy giảng rất kỹ từ lý_thuyết cho đến bài_tập .,2,0
365,nguyên kỳ này em thấy học được mỗi môn của thầy dạy là vô .,2,0
366,"thầy siêu dễ_thương , dạy có tâm .",2,0
367,điều_chỉnh trang_thiết_bị giảng_dạy .,0,2
368,lo cho sinh_viên .,2,0
369,đôi_khi thầy hơi lan_man .,0,0
370,cô_giáo tuyệt_vời .,2,0
371,"đi dạy đúng giờ , truyền_đạt kiến_thức dễ nắm_bắt .",2,0
372,phần thực_hành nếu có phải nộp bài nào để lấy điểm thì nên thông_báo lên moodle và cho nộp online .,0,0
373,"sinh_viên được chủ_động trong giờ học , tự suy_nghĩ , tham_gia thảo_luận về bài_học và có liên_hệ thực_tế .",2,1
374,chưa từng gặp giảng_viên wzjwz144 ở môn thực_hành thiết_bị mạng và truyền_thông đa_phương_tiện .,0,3
375,hoạt_động tham_quan rất bổ_ích .,2,0
376,thầy rất nhiệt_huyết trong khi giảng bài .,2,0
377,"thầy dạy hay , dễ hiểu , cho bài_tập nhiều nhưng thường quá giờ quy_định .",2,0
378,"đôi_khi thầy có đến trễ một_chút nhưng các nội_dung thầy giảng_dạy đều đầy_đủ , ngoài_ra thầy còn tăng thêm các buổi tăng_cường trước các ngày thi .",2,0
379,thầy không quan_tâm tiến_độ và bám sát hoạt_động học của sinh_viên .,0,0
380,quay video quá_trình dạy .,2,0
381,trong quá_trình dạy cô có liên_hệ thực_tế nhiều .,2,0
382,thầy dạy rất nhiệt_tình ví_dụ và lý_thuyết dễ hiểu slide bài giảng tốt .,2,0
383,thầy dạy khá hay và kỹ .,2,0
384,truyền_đạt rất tốt .,2,0
385,tận_tâm và nhiệt_tình trong giảng_dạy .,2,0
386,"rất dễ hiểu , bài_tập phong_phú , đa_dạng .",2,0
387,"cô dạy rất tận_tình , tạo không_khí thoải_mái trong lớp_học cung_cấp tốt mọi kiến_thức cho sinh_viên quan_tâm đến sinh_viên .",2,0
388,vui nhiệt_tình tận_tâm .,2,0
389,yêu_cầu bài lab chưa đủ rõ_ràng .,0,1
390,"một vấn_đề nữa , em mong quý thầy_cô tạo một không_khí hưng thú cho sinh_viên , có_thể kể thêm chuyện ngoài_lề , bao_giờ vui_vẻ thì sinh_viên cũng học tốt hơn , gò_bó ép_buộc mình vào một điều gì đó đôi_khi lại phản_tác_dụng , em tin nếu làm được thế sinh_viên sẽ tự_giác đi học nhiều hơn , còn việc điểm_danh thì thủ_tục quá gây cho học_sinh tâm_lý trói_buộc .",0,0
391,có chuẩn_bị slide bài giảng chi_tiết với nhiệt_tình .,2,0
392,"thầy dạy nhiệt_tình , cập_nhật được kiến_thức mới .",2,0
393,"giảng_viên nhiệt_huyết , rất có tâm colonhihi .",2,0
394,"dạy sai kiến_thức về fork , sai giải_thuật round - robin_, sai kiến_thức về bộ_nhớ .",0,0
395,giảng_viên thiếu trách_nhiệm .,0,0
396,"rất thích cách dạy của thầy , dễ hiểu , thầy rất tận_tình .",2,0
397,"cô vui_tính , truyền_đạt được ý_kiến cho học_sinh , tạo môi_trường làm_việc nhóm hiệu_quả .",2,0
398,"cô dạy rất kỹ , nhiệt_tình , cô luôn giám_sát thái_độ và chất_lượng học_tập của sinh_viên , và luôn cóc những bào tập về nhà để sinh_viên luyện_tập thêm ở nhà .",2,0
399,"giảng_viên theo_dõi , giám_sát quá_trình thực_hành .",2,0
400,"thầy cho cả lớp tranh_luận về các quy_luật , các cặp phạm_trù , các nguyên_lý của chủ_nghĩa mác - lênin .",1,0
401,thầy dạy tâm_huyết và nhiệt_tình .,2,0
402,"trình_bày vấn_đề đơn_giản , dễ tiếp_thu .",2,0
403,"giảng_viên nên có bài sửa cho những bài thực_hành được cho làm , hoặc giảng lại cách làm sau đó .",0,0
404,cần đảm_bảo thời_gian lên_lớp .,0,1
405,kiến_thức truyền_đạt .,1,3
406,"giảng_viên nói to rõ , nhiệt_tình , tận_tâm .",2,0
407,cần tăng thêm bài_tập thực_tế .,0,1
408,cô tạo không_khí vui_vẻ và tạo được tinh_thần học cho sinh_viên .,2,0
409,"nhiệt_tình , quan_tâm sinh_viên .",2,0
410,"thầy dạy nhiệt_tình , cho nhiều ví_dụ .",2,0
411,không giới_thiệu khái_quát về nội_dung .,0,1
412,tâm_huyết giảng_dạy của giáo_viên .,2,0
413,"những bài giảng thiết_thực , kèm theo những hình_thức học_tập mới_lạ làm cho sinh_viên cảm_thấy bớt căng thắng khi học .",2,0
414,tài_liệu ôn_tập thi không được cung_cấp .,0,1
415,không thông_báo rõ_ràng lịch học .,0,1
416,"thầy tận_tâm nhiệt_tình , dạy sát nội_dung môn_học .",2,0
417,giảng_viên khuyến_khích sinh_viên tự tìm_hiểu .,2,0
418,nâng_cấp phiên_bản của các phần_mềm .,0,2
419,"thầy dạy hay , dễ hiểu bài , em thích điều đó .",2,0
420,"giảng_viên vui_vẻ , hoạt_bát , lun tiếp_cận tìm_hiểu sinh_viên , giúp sinh_viên hiểu bài tốt hơn .",2,0
421,mọi mặt đều tốt .,2,3
422,đó là ý_kiến cá_nhân của em .,1,3
423,cô đẩy nhanh quá nên chậm lại xíu .,0,0
424,"hướng_dẫn và giảng_dạy chi_tiết , dễ hiểu .",2,0
425,"thầy nhiệt_tình , giải_đáp thắc_mắc kịp_thời .",2,0
426,thầy giải_thích rất chi_tiết nội_dung bài .,2,0
427,"thầy cho các nhóm seminar dịch sách tiếng anh nhưng nhiều nhóm làm quá qua_loa nên em không hiểu nội_dung sách cho lắm , mặc_dù thầy có giảng lại .",0,0
428,"thầy dạy nhiệt_tình , vui_tính , tận_tâm !",2,0
429,tạm tạm .,1,3
430,"nên tăng thời_lượng thực_hành để đủ thời_gian cho giảng_viên hướng_dẫn thực_hành hướng_dẫn đầy_đủ cho sinh_viên , môn này là môn quan_trọng trước khi vào chuyên_ngành .",0,1
431,buổi học nào thầy cũng có_mặt đầy_đủ .,2,0
432,"cách dạy không hay , dễ gây nhàm_chán .",0,0
433,có đầy nhiệt_tình và quan_tâm việc học .,2,0
434,nên có các bài_tập trên lớp và bài_tập hàng tuần để rèn_luyện kỹ_năng và vận_dụng kiến_thức học được vào thực_tế .,0,1
435,cần tài_liệu point word để dễ tiếp_thu .,0,1
436,cần phân_bố thời_gian_thực hành và lý_thuyết hợp_lý hơn .,0,1
437,"giáo_viên thân_thiện , tận_tâm , nhiệt_tình .",2,0
438,thầy nên cho sinh_viên làm nhiều loại bài_tập .,0,0
439,"giáo_viên dạy sát chương_trình , lượng kiến_thức truyền_đạt đầy_đủ .",2,0
440,"cô dạy hay , rất nhiệt_tình với sinh_viên .",2,0
441,"phương_pháp truyền_đạt thú_vị , tiết học sôi_động không gò_bó .",2,0
442,"thầy wzjwz288 nhiệt_tình , nghiêm_túc .",2,0
443,mong thầy lên_lớp đừng muộn quá .,0,0
444,cách học theo nhóm rất hay .,2,0
445,"hướng_dẫn tốt , nhiệt_tình giải_đáp khi sinh_viên có thắc_mắc .",2,0
446,"giảng_viên nhiệt_tình dạy tốt , nhưng cô cập_nhật điểm lâu , không up bài lên course .",0,0
447,"thầy không chủ_động hướng_dẫn , gây khó_khăn trong việc áp_dụng kiến_thức .",0,0
448,cuối_cùng em không biết môn_học làm gì .,0,1
449,"giảng_dạy đúng giờ , hiệu_quả .",2,0
450,ít bài_tập làm thêm .,0,1
451,chưa tạo được nhiều hoạt_động trên lớp .,0,0
452,"giải_tích là một môn_học khó , thầy cần thêm thời_gian giảng_dạy và cho sinh_viên một bài thi phù_hợp trình_độ đồng_đều hơn .",0,0
453,"giảng_viên nhiệt_tình , vui_tính , giảng hay và dễ hiểu .",2,0
454,"em thấy có vài vấn_đề ở môn_học này , thay_vì nó là một môn_học có_thể thay bằng một đồ_án chuyên_ngành .",0,1
455,"ngoài_ra , các bài hướng_dẫn thực_hành nên chú_trọng vào các vấn_đề của môn để sinh_viên có_thể vừa tiếp_cận thực_hành và tiếp_cận với đồ_án cuối kỳ .",0,1
456,quá nghiêm_khắc .,0,0
457,một_số chỗ nên giảng kỹ hơn .,0,0
458,"điểm thi còn nhiều bất_cập , rất nhiều bạn còn phúc kháo .",0,1
459,"giáo_viên giảng dễ hiểu , bài_tập thầy cho có tính ứng_dụng cao , và cần nhiều kiến_thức để giải_quyết .",2,0
460,"thầy rất nhiệt_tình , giảng bài dễ hiểu và tận_tâm .",2,0
461,"thầy giảng rõ_ràng , dễ hiểu .",2,0
462,bài_tập chưa đủ để sinh_viên thấu_hiểu .,0,1
463,"giảng_dạy hay , nhiệt_tình , vui_tính .",2,0
464,"không hiểu thầy có phải là giảng_viên không nữa , nói tiếng anh không_thể_nào nghe được , còn có thái_độ không nghe góp_ý của sinh_viên nữa chứ , giải bài gì mà toàn "" this is .",0,0
465,"giảng_viên nhiệt tinh , tận_tâm .",2,0
466,giảng_viên cần tập_trung đi_sâu vào kiến_thức ngữ_pháp và nhiều bài_tập hơn .,0,0
467,"cô rất vui_vẻ , nhiệt_huyết .",2,0
468,"cô wzjwz306 cực_kỳ nhiệt_tình , luôn biết cách tạo cơ_hội cho sinh_viên , khuyến_khích cự chủ_động và sáng_tạo trên lớp , thẳng thắng phê_bình dù là cả lớp một_cách hết_sức xây_dựng và thức_tỉnh .",2,3
469,mỗi người giảng_viên đều có một phương_pháp dạy khác nhau và trình_bày bài_tập cũng khác nhau .,1,0
470,"đề thi nằm ngoài mục_tiêu giảng_dạy quá nhiều , đề trắc_nghiệm khách_quan mà cho tới 5 đáp_án là không hợp_lý .",0,1
471,"thoải_mái , lắng_nghe ý_kiến sinh_viên .",2,0
472,"sinh_viên được chia nhóm và thực_hành trên thiết_bị thật 2 buổi , 1 buổi làm_quen và một buổi hoàn_tất là_hơi thiếu .",0,1
473,cô cho nhiều bài_tập để rèn_luyện .,2,0
474,kiến_thức môn_học có_ích .,2,1
475,"thầy khá nhiệt_tình , các nội_dung giảng_dạy của thầy là những câu_chuyện thực_tế mà thầy trải qua vì_vậy tụi em thích_thú hơn .",2,0
476,cần có nhiều tài_liệu được cung_cấp ngay từ buổi học đầu_tiên thuận_lợi và tạo điều_kiện cho sinh_viên tìm_hiểu và nghiên_cứu .,0,1
477,"thầy wzjwz298 , dạy rất hay và dễ hiểu môn xác_suất thống_kê , cực_kỳ thích cách giảng_dạy của thầy , bài_tập và slide bài giảng thầy đều gửi đầy_đủ giúp sinh_viên nắm_bắt được bài giảng hiệu_quả .",2,0
478,tốt .,2,3
479,"giảng_viên tận_tình , tâm_huyết .",2,0
480,giúp nâng cao kiến thức .,2,3
481,nghỉ học nhưng không thông_báo cho sinh_viên biết trước .,0,0
482,đảm_bảo giờ_giấc lên_lớp .,2,0
483,giảng_viên giảng_dạy nhiệt_tình và hiệu_quả .,2,0
484,"phương_pháp giảng của thầy hơi trừu_tượng , đề thi có_lý thuyết mà thầy quên nhắc .",0,0
485,"sự nhiệt_tình của giảng_viên , tạo động_lực cho sinh_viên học_tập tốt .",2,0
486,cần có nhiều thời_gian hơn_nữa để sinh_viên có_thể tiếp_thu và vận_dụng vào trong thực_tế .,0,1
487,"thầy nhiệt_tình , giảng hay .",2,0
488,"chấm điểm rộng_rãi , không công_bằng .",0,0
489,"đôi_lúc thầy "" chia_sẻ "" hơi nhiều thời_gian và việc học vào chương_trình thì bị bớt lại nhưng điều này cũng không mấy ảnh_hưởng gì .",1,0
490,điều em hài_lòng nhất đó là thầy rất là vui_vẻ khi mà hỏi bài thầy và thầy rất nhiệt_tình trong lúc giảng_dạy .,2,0
491,nhiều trang_thiết_bị thực_hành trong phòng thực_hành điện_tử cơ_bản đa_số hư_hỏng nhiều cần phải thay mới .,0,2
492,môn game là môn khó mà lượng thời_gian_thực hành quá ít .,0,1
493,"slide bài giảng đầy_đủ rõ_ràng , giáo_viên đúng giờ , tạo nhiều điều_kiện cho sinh_viên .",2,0
494,thầy rất nghiêm_khắc .,0,0
495,cần chú_ý khắc_phục .,0,3
496,"vui_vẻ , tận_tình giải_đáp thắc_mắc .",2,0
497,"giảng_viên giảng_dạy quá áp_lực , gây áp_lực về điểm_số cho sinh_viên .",0,0
498,"thiết_bị thực_hành không đáp_ứng yêu_cầu_môn_học , như router , switch .",0,2
499,"thầy giảng hay , dễ hiểu , bài_tập cho về nhà vừa sức với em .",2,0
500,nên có tiết thực_hành hỗ_trợ phần đồ_án .,0,1
501,"giảng_viên giảng_dạy nhiệt_tình , tận_tâm , dễ hiểu .",2,0
502,nói_chuyện điện_thoại nhiều hơn giảng_dạy .,0,0
503,giảng_viên rất hoà_đồng với học_sinh .,2,0
504,khi dùng micro em nghe được hai giọng của thầy và của loa rất đau_đầu .,0,2
505,điều này như lướt qua đầu tụi em và nó chả để lại ấn_tượng gì nên trong bài thi giữa kỳ đa_số là sai phần bài_tập .,0,3
506,còn nghỉ .,0,0
507,"quản_lý lớp tốt , truyền_đạt hay .",2,0
508,"gần_gũi , phương_pháp dạy phù_hợp .",2,0
509,"trong quá_trình giải bài_tập , giảng_viên đưa ra nhiều nhận_xét khác nhau , mỗi buổi lại giải một_cách khác nhau khiến sinh khiên không xác_định được cách làm , hoang_mang .",0,0
510,giao viên dạy rất nhiệt_tình .,2,0
511,"có bài thì một tuần deadline , có bài thì cả tháng mới deadline , có tuần thì deadline ba bài cùng lúc .",0,1
512,"cô wzjwz82 dạy rất khó hiểu , nhiều bạn trong lớp không nắm được .",0,0
513,"hy_vọng cô thay_đổi cấu_trúc đề thi thực_hành , thực_ra khó thì không khó lắm , nhưng đánh_máy không kịp .",0,0
514,"thầy tận_tâm , nhiệt_tình , giảng bài trên lớp kỹ .",2,0
515,giảng_viên luôn nhiệt_tình với sinh_viên trong quá_trình giảng_dạy .,2,0
516,"cô dạy vui_vẻ , thân_thiện với sinh_viên .",2,0
517,môn_học giúp hiểu rõ về từng ngành .,2,1
518,"nhiệt_huyết , vui_tính .",2,0
519,nên thường_xuyên điểm_danh hơn .,0,0
520,cần phòng thực_hành môn_học .,0,2
521,đây là một giảng_viên có số_lượng fan đông nhất trường .,2,0
522,"thầy dạy và hướng_dẫn sinh_viên làm đồ_án rất tốt và rất nhiệt_tình , luôn giải_đáp các câu hỏi của sinh_viên rất nhanh .",2,0
523,nên mất tiết khá nhiều .,0,1
524,"sự nhiệt_tình tận_tâm , nếu có_thể tăng tiết cho môn_học này thì rất tốt ạ !",2,0
525,cô chấm bài_tập còn khắt_khe .,0,0
526,cô nên sử_dụng micro .,0,0
527,chỗ thực_hành rất nắng và nóng và dụng_cụ thực_hành rất có_hạn .,0,2
528,chưa có diễn_đàn trên courses .,0,1
529,giải bài_tập nhiều hơn .,0,0
530,nên nhanh_chóng đưa thiết_bị thật vào thực_hành .,0,2
531,"có nhiều trò_chơi mới_lạ , vui_tươi .",2,1
532,mở_rộng hệ_thống bài giảng .,1,1
533,đề thi ra không hợp_lý .,0,0
534,"nội_dung thi , kiểm_tra quá rộng .",0,1
535,"thân_thiện , tận_tình hướng_dẫn .",2,0
536,"cô rất nhiệt_tình , dạy kỹ .",2,0
537,giảng_viên nên hướng_dẫn sinh_viên sử_dụng myelt trong việc tự học ở nhà .,0,0
538,"cô giảng hay , truyền_đạt được kiến_thức đầy_đủ .",2,0
539,luôn vui_vẻ và rất nghiêm_túc trong chuyện giảng_dạy .,2,0
540,"do năm nay chường trình av nâng lên một bậc , nên cũng giống như em vừa học xong av1 , lại nhảy lên thẳng av3 của năm_ngoái .",0,0
541,trong một khoảng thời_gian ngắn không_thể vừa tìm_hiểu vừa làm được .,1,1
542,"cách dạy thầy rất tốt , nâng cao khả_năng , kiến_thức của sinh_viên .",2,0
543,tài_liệu .,1,1
544,đưa ra nhiều ví_dụ cụ_thể minh_hoạ cho bài giảng giúp cho sinh_viên phân_biệt rõ các khái_niệm và nắm_bắt bài_học .,2,0
545,"thầy dạy hay , thầy có kiến_thức sâu_rộng nhưng lại không lên_lớp đủ giờ học , thường_xuyên nghỉ học không được báo trước làm sinh_viên rất hoang_mang , thiếu kiến_thức .",0,0
546,giọng rõ dễ nghe .,2,0
547,"đúng giờ , dễ hiểu .",2,0
548,em chưa bao_giờ gặp giáo_viên như_vậy trong suốt 3 năm năm đại_học .,1,0
549,thiếu kinh_nghiệm .,0,0
550,giảng_viên khá tích_cực trong việc trao_đổi các vấn_đề về đồ_án với sinh_viên .,2,0
551,thời_gian làm bài_tập còn hơi dài .,0,1
552,"giảng_viên rất tâm_huyết , nhiệt_tình .",2,0
553,"lý_thuyết quá nhiều , không nhiệt_tình với sinh_viên .",0,0
554,hướng_dẫn giải bài_tập rất hay và chi_tiết .,2,0
555,thầy giảng bài dễ hiểu và tận_tâm .,2,0
556,"thưa , thầy luôn nhiệt_tâm và rất gần_gũi với sinh_viên .",2,0
557,"cô dạy rất nhiệt_tình , hiểu tâm_lý sinh_viên , rất vui_tính .",2,0
558,"môn_học khá nặng và có nhiều phần rất khó hiểu , thời_gian phân_bố các chương cần có sự thay_đổi cho phù_hợp , một_số phần khá khó nhưng chỉ học trong vòng vài tiết làm sinh_viên rất khó hiểu .",0,1
559,"học lý_thuyết khác hẳn với thực_hành , học nhiều buổi thực_hành nhưng thầy chỉ cho 2 bài thực_hành về sân bóng mà đa_số sinh_viên không hiểu đề .",0,1
560,phương_pháp dạy dễ hiểu .,2,0
561,chất_lượng đào_tạo quá tốt .,2,1
562,"em có ý_kiến là thầy nên ra thêm nhiều bài_tập , chia_sẻ thêm nhiều tài_liệu hơn .",0,0
563,thầy giảng bài rất nhiệt_tình và đầy_đủ kiến_thức của môn_học .,2,0
564,"giảng_viên đảm_bảo đủ các buổi học , nhưng rất thường_xuyên đến lớp trễ .",0,0
565,giọng thầy hơi nhỏ và đều_đều làm sinh_viên buồn_ngủ .,0,0
566,"giảng_viên dạy nhiệt_tình , dễ hiểu , kỹ_càng , chu_đáo .",2,0
567,thầy vui_vẻ tận_tâm .,2,0
568,"thầy dạy chi_tiết , dễ hiểu bài , luôn đi vào các phần trọng_tâm của bài .",2,0
569,"hiện_nay theo em nhận thấy , trong khi lúc học thì sinh_viên chỉ được học về doubledot kỹ_năng ghi_chép , kỹ tổ_chức cuộc họp .",1,3
570,"giảng_dạy hay , dễ hiểu .",2,0
571,thầy truyền_đạt nhiều kiến_thức hay .,2,0
572,"điểm thực_hành nên chia ra nhiều mục doubledot chuyên_cần , bài_tập , kiểm_tra , kiểm_tra cuối kỳ .",0,1
573,"giảng_viên nhiệt_tình , đưa ra nhiều bài_tập .",2,0
574,"thầy dạy rất hay , rất dễ hiểu .",2,0
575,cô dạy có tâm nhất luôn colonlove .,2,0
576,"cô vui_tính , hướng_dẫn rất tận_tình .",2,0
577,"khả_năng truyền_đạt tốt , tận_tâm , chu_đáo .",2,0
578,"mong cô thay_đổi một_chút về phương_pháp như sau , có_lẽ sẽ giúp sinh_viên tiếp_cận dễ_dàng với bài_học hơn .",0,0
579,nên cho làm bài_tập trên lớp sau mỗi chương .,0,0
580,cô dạy hay nhiệt_tình nhất trong những giáo_viên anh văn em đã học !,2,0
581,đi dạy luôn trễ từ 10 - 20 phút .,0,0
582,hoạt_động giảng_dạy logic và dễ hiểu không có gì để_ý_kiến .,2,0
583,"thầy nhiệt_tình , chỉ dạy dễ hiểu .",2,0
584,buồn_ngủ .,0,3
585,"thầy dạy hay , tận_tình .",2,0
586,thầy đẹp_trai nhưng trông có pha chút nữ_tính .,0,0
587,"giáo_viên chưa được tận_tâm cho lắm , nhiều buổi thực_hành giáo_viên chỉ đến đưa thiết_bị rồi đi họp .",0,0
588,cách dạy của cô rất thoải_mái không gò_bó sinh_viên .,2,0
589,"tận_tình , truyền_đạt dễ hiểu .",2,0
590,có nhiều trò_chơi nhỏ .,2,3
591,"trong giờ học thì không tập_trung vào các nội_dung chính của bài mà hỏi sinh_viên những câu không liên_quan , liên_quan về vấn_đề riêng_tư , và em không thấy được sự áp_dụng vô bài_học .",0,0
592,"phòng học còn rất là bụi , phấn viết bảng thì thiếu trầm_trọng , khăn lau bảng thì rách tả_tơi .",0,2
593,nếu nghỉ học thì mong thầy báo sớm cho tụi em và mong thầy giải hoặc hướng tụi em cách làm một bài_tập cũ hoặc mới một_cách cụ_thể hơn .,0,0
594,cho nhiều bài_tập về nhà để luyện các kỹ_năng nghe và đọc .,2,0
595,slide môn_học có đôi chỗ bị sai .,0,1
596,"phòng học được sắp_xếp gần nơi thi_công wzjwz125 ồn_ào , không học được .",0,2
597,"giảng_viên hoà_đồng , nhiệt_huyết , tận_tâm .",2,0
598,chất_lượng giảng_dạy .,1,3
599,"nếu được thì mong nhà_trường hoặc giảng_viên giới_thiệu rõ hơn về môn_học , tầm ảnh_hưởng tiên_quyết của nó đối_với các môn_học chuyên_ngành về sau .",0,1
600,do bản_thân .,1,3
601,"giảng_viên hơi gầy , cần bồi_bổ thể_chất colonsmile .",0,0
602,"giáo_viên vui_tính , nhiệt_huyết .",2,0
603,"kiến_thức sát với thực_tế , được cập_nhật .",2,1
604,"thầy rất vui và dạy rất nhiệt_tình , kiến_thức rất rộng .",2,0
605,thiết_bị còn quá cũ_kỹ .,0,2
606,"cô đọc slides nhanh quá , ít giảng cụ_thể và nêu ví_dụ lên bảng .",0,0
607,"nhiệt_tình , vui_vẻ , tận_tâm .",2,0
608,thầy dạy rất có tâm và giúp chúng_em hiểu rất sâu .,2,0
609,giáo_viên giảng_dạy hay .,2,0
610,môn_học rất khó hiểu .,1,1
611,giáo_viên giảng khó hiểu .,0,0
612,giảng_dạy vui_vẻ nhiệt_tình gần_gũi với sinh_viên .,2,0
613,một_số máy còn không được cài_đặt phần_mềm thực_hành .,0,2
614,thầy cực_kỳ nhiệt_tình !,2,0
615,bài_tập mang tính ứng_dụng thực_tế .,2,1
616,đây là góp ý nhỏ của em để cô_đỡ mệt thêm thôi ạ !,1,0
617,"còn ít tạo cơ_hội cho sinh_viên rèn_luyện các kỹ_năng quan_trọng như nghe , nói nhiều .",0,0
618,có hài_lòng .,1,0
619,thời_gian quá ngắn .,0,3
620,thầy nhiệt_tình giảng_dạy dù có lúc không ai thèm nghe thầy nói .,2,0
621,thầy chỉ đến hỗ_trợ khi sinh_viên cần giúp .,0,0
622,thực_hành .,1,1
623,thầy liên_hệ thực_tiễn rất tốt .,2,0
624,có .,1,0
625,môn mạng máy_tính nên tăng_cường thêm thời_gian_thực hành thay_vì dạy nội_dung môn_học dạy quá nhiều lý_thuyết dẫn đến gây khó hiểu cho sinh_viên .,0,1
626,"thầy hướng_dẫn tận_tâm , nhiệt_tình !",2,0
627,"khả_năng truyền_đạt tốt , thân_thiện với sinh_viên .",2,0
628,nên sắp_xếp lịch thực_hành phù_hợp với tiến_độ giảng_dạy lý_thuyết .,0,1
629,mong khoa đổi giảng_viên cho môn này vào năm_học sau .,0,0
630,"thầy rất nhiệt_tình giảng_dạy , cho_dù ít sinh_viên .",2,0
631,trang_thiết_bị nên được trang_bị thường_xuyên .,0,2
632,thầy lên_lớp rất đúng giờ .,2,0
633,thường_xuyên đi trễ và áp_đặt sinh_viên .,0,0
634,khó gần .,0,0
635,để thay_đổi không_khí và vừa nghỉ giải_lao .,2,3
636,cuối buổi học thầy chia_sẻ kinh_nghiệm để tụi em có_thể học tốt hơn .,2,1
637,"nhiệt_tình với sinh_viên , luôn đáp_ứng và trả_lời câu hỏi khi sinh_viên thắc_mắc .",2,0
638,"thầy chơi_đểu em nhé , gọi em 2 lần làm em 1 con_dấu nợ đấy !",0,0
639,sinh_viên có nhiều môn_học nên khó mà chỉ đầu_tư quá nhiều cho một môn .,0,1
640,đa_số các kiến_thức của môn sinh_viên phải tự học hoặc học_hỏi lẫn nhau mà không có hướng_dẫn .,0,1
641,"chương_trình quá nặng , quá nhiều yêu_cầu dễ bị quá_tải .",0,3
642,nên biên_soạn tài_liệu tiếng việt đi kèm .,0,1
643,yêu_cầu_môn_học thì mập_mờ và thiếu thực_tế .,0,1
644,thầy dạy đủ buổi .,1,0
645,"thầy dạy nhiệt_tình , có sự tương_tác giữa người dạy và học trong suốt quá_trình học_tập .",2,0
646,"thầy tâm_lý , vui_tính .",2,0
647,"các mục được đánh "" không ý_kiến "" có nghĩa là em đồng_ý với điều được hỏi , không ý_kiến gì .",1,3
648,phòng quá nóng và chói làm máy_chiếu bị mờ .,0,2
649,sử_dụng giờ lên_lớp chưa hợp_lý .,0,0
650,thầy dạy hay cho nhiều bài_tập .,2,0
651,"tận_tình , giảng rõ_ràng .",2,0
652,thầy rất tích_cực trong quá_trình giảng_dạy .,2,0
653,khó tiếp_cận nội_dung vì slide toàn tiếng anh .,0,1
654,thầy vui_tính nhiệt_tình .,2,0
655,chưa giảng chi_tiết những bài_tập sinh_viên không làm được .,0,0
656,"giảng_viên nhiệt_tình , giảng dễ hiểu .",2,0
657,"nội_dung thực_hành còn sơ_sài , giảng_viên chưa hướng_dẫn , thông_báo trước hay giảng_giải về nội_dung thực_hành .",0,0
658,"thầy rất thương sinh_viên , sẵn_sàng nói lại kiến_thức lý_thuyết khi sinh_viên chưa hiểu .",2,0
659,"nhiệt_tình , truyền_đạt tốt , hiệu_quả .",2,0
660,"có_thể ta sẽ tìm thấy được một phương_pháp lập_trình cho bài_toán đó tối_ưu hơn , hay hơn .",2,1
661,em rất thích cách dạy này !,2,0
662,"phòng lab kém , buổi đầu_tiên không cài visual , buổi thứ 2 cũng không cài , buổi thứ 3 cũng vậy sinh_viên không đi thực_hành !",0,2
663,rất dễ hiểu .,2,0
